id,partidoId,tipo,minuto,detalle,equipoCodigo,dorsal
EVT-001-01,F2030-001,Gol,18,Gol del equipo local,ARG,9
EVT-001-02,F2030-001,TarjetaAmarilla,63,Amonestacion del equipo visitante,BRA,4
EVT-002-01,F2030-002,Gol,19,Gol del equipo local,AUS,9
EVT-002-02,F2030-002,TarjetaAmarilla,64,Amonestacion del equipo visitante,IRN,4
EVT-003-01,F2030-003,Gol,20,Gol del equipo local,IRQ,9
EVT-003-02,F2030-003,TarjetaAmarilla,65,Amonestacion del equipo visitante,JPN,4
EVT-004-01,F2030-004,Gol,21,Gol del equipo local,JOR,9
EVT-004-02,F2030-004,TarjetaAmarilla,66,Amonestacion del equipo visitante,QAT,4
EVT-005-01,F2030-005,Gol,22,Gol del equipo local,KSA,9
EVT-005-02,F2030-005,TarjetaAmarilla,67,Amonestacion del equipo visitante,KOR,4
EVT-006-01,F2030-006,Gol,23,Gol del equipo local,UZB,9
EVT-006-02,F2030-006,TarjetaAmarilla,68,Amonestacion del equipo visitante,ALG,4
EVT-007-01,F2030-007,Gol,24,Gol del equipo local,CPV,9
EVT-007-02,F2030-007,TarjetaAmarilla,69,Amonestacion del equipo visitante,COD,4
EVT-008-01,F2030-008,Gol,25,Gol del equipo local,EGY,9
EVT-008-02,F2030-008,TarjetaAmarilla,70,Amonestacion del equipo visitante,GHA,4
EVT-009-01,F2030-009,Gol,26,Gol del equipo local,CIV,9
EVT-009-02,F2030-009,TarjetaAmarilla,71,Amonestacion del equipo visitante,MAR,4
EVT-010-01,F2030-010,Gol,27,Gol del equipo local,SEN,9
EVT-010-02,F2030-010,TarjetaAmarilla,72,Amonestacion del equipo visitante,RSA,4
EVT-011-01,F2030-011,Gol,28,Gol del equipo local,TUN,9
EVT-011-02,F2030-011,TarjetaAmarilla,73,Amonestacion del equipo visitante,CAN,4
EVT-012-01,F2030-012,Gol,29,Gol del equipo local,CUW,9
EVT-012-02,F2030-012,TarjetaAmarilla,74,Amonestacion del equipo visitante,HAI,4
EVT-013-01,F2030-013,Gol,30,Gol del equipo local,MEX,9
EVT-013-02,F2030-013,TarjetaAmarilla,75,Amonestacion del equipo visitante,PAN,4
EVT-014-01,F2030-014,Gol,31,Gol del equipo local,USA,9
EVT-014-02,F2030-014,TarjetaAmarilla,76,Amonestacion del equipo visitante,COL,4
EVT-015-01,F2030-015,Gol,32,Gol del equipo local,ECU,9
EVT-015-02,F2030-015,TarjetaAmarilla,77,Amonestacion del equipo visitante,PAR,4
EVT-016-01,F2030-016,Gol,33,Gol del equipo local,URU,9
EVT-016-02,F2030-016,TarjetaAmarilla,78,Amonestacion del equipo visitante,NZL,4
EVT-017-01,F2030-017,Gol,34,Gol del equipo local,AUT,9
EVT-017-02,F2030-017,TarjetaAmarilla,79,Amonestacion del equipo visitante,BEL,4
EVT-018-01,F2030-018,Gol,35,Gol del equipo local,BIH,9
EVT-018-02,F2030-018,TarjetaAmarilla,80,Amonestacion del equipo visitante,CRO,4
EVT-019-01,F2030-019,Gol,36,Gol del equipo local,CZE,9
EVT-019-02,F2030-019,TarjetaAmarilla,81,Amonestacion del equipo visitante,ENG,4
EVT-020-01,F2030-020,Gol,37,Gol del equipo local,FRA,9
EVT-020-02,F2030-020,TarjetaAmarilla,82,Amonestacion del equipo visitante,GER,4
EVT-021-01,F2030-021,Gol,38,Gol del equipo local,NED,9
EVT-021-02,F2030-021,TarjetaAmarilla,83,Amonestacion del equipo visitante,NOR,4
EVT-022-01,F2030-022,Gol,39,Gol del equipo local,POR,9
EVT-022-02,F2030-022,TarjetaAmarilla,84,Amonestacion del equipo visitante,SCO,4
EVT-023-01,F2030-023,Gol,40,Gol del equipo local,ESP,9
EVT-023-02,F2030-023,TarjetaAmarilla,85,Amonestacion del equipo visitante,SWE,4
EVT-024-01,F2030-024,Gol,41,Gol del equipo local,SUI,9
EVT-024-02,F2030-024,TarjetaAmarilla,86,Amonestacion del equipo visitante,TUR,4
EVT-025-01,F2030-025,Gol,42,Gol del equipo local,JAM,9
EVT-025-02,F2030-025,TarjetaAmarilla,87,Amonestacion del equipo visitante,NCL,4
EVT-026-01,F2030-026,Gol,43,Gol del equipo local,BOL,9
EVT-026-02,F2030-026,TarjetaAmarilla,88,Amonestacion del equipo visitante,SUR,4
EVT-027-01,F2030-027,Gol,44,Gol del equipo local,ITA,9
EVT-027-02,F2030-027,TarjetaAmarilla,89,Amonestacion del equipo visitante,WAL,4
EVT-028-01,F2030-028,Gol,45,Gol del equipo local,NIR,9
EVT-028-02,F2030-028,TarjetaAmarilla,46,Amonestacion del equipo visitante,POL,4
EVT-029-01,F2030-029,Gol,17,Gol del equipo local,UKR,9
EVT-029-02,F2030-029,TarjetaAmarilla,62,Amonestacion del equipo visitante,ALB,4
EVT-030-01,F2030-030,Gol,28,Gol del equipo local,KVX,9
EVT-030-02,F2030-030,TarjetaAmarilla,73,Amonestacion del equipo visitante,SVK,4
EVT-031-01,F2030-031,Gol,39,Gol del equipo local,ROU,9
EVT-031-02,F2030-031,TarjetaAmarilla,84,Amonestacion del equipo visitante,DEN,4
EVT-032-01,F2030-032,Gol,12,Gol del equipo local,IRL,9
EVT-032-02,F2030-032,TarjetaAmarilla,57,Amonestacion del equipo visitante,MKD,4
