id,fecha,hora,fase,sedeId,localCodigo,visitanteCodigo
F2030-001,2030-06-13,16:00,Fase de grupos,SED-001,ARG,BRA
F2030-002,2030-06-13,19:00,Fase de grupos,SED-002,AUS,IRN
F2030-003,2030-06-13,21:00,Fase de grupos,SED-003,IRQ,JPN
F2030-004,2030-06-14,16:00,Fase de grupos,SED-004,JOR,QAT
F2030-005,2030-06-14,19:00,Fase de grupos,SED-005,KSA,KOR
F2030-006,2030-06-14,21:00,Fase de grupos,SED-006,UZB,ALG
F2030-007,2030-06-15,16:00,Fase de grupos,SED-007,CPV,COD
F2030-008,2030-06-15,19:00,Fase de grupos,SED-008,EGY,GHA
F2030-009,2030-06-15,21:00,Fase de grupos,SED-001,CIV,MAR
F2030-010,2030-06-16,16:00,Fase de grupos,SED-002,SEN,RSA
F2030-011,2030-06-16,19:00,Fase de grupos,SED-003,TUN,CAN
F2030-012,2030-06-16,21:00,Fase de grupos,SED-004,CUW,HAI
F2030-013,2030-06-17,16:00,Fase de grupos,SED-005,MEX,PAN
F2030-014,2030-06-17,19:00,Fase de grupos,SED-006,USA,COL
F2030-015,2030-06-17,21:00,Fase de grupos,SED-007,ECU,PAR
F2030-016,2030-06-18,16:00,Fase de grupos,SED-008,URU,NZL
F2030-017,2030-06-18,19:00,Fase de grupos,SED-001,AUT,BEL
F2030-018,2030-06-18,21:00,Fase de grupos,SED-002,BIH,CRO
F2030-019,2030-06-19,16:00,Fase de grupos,SED-003,CZE,ENG
F2030-020,2030-06-19,19:00,Fase de grupos,SED-004,FRA,GER
F2030-021,2030-06-19,21:00,Fase de grupos,SED-005,NED,NOR
F2030-022,2030-06-20,16:00,Fase de grupos,SED-006,POR,SCO
F2030-023,2030-06-20,19:00,Fase de grupos,SED-007,ESP,SWE
F2030-024,2030-06-20,21:00,Fase de grupos,SED-008,SUI,TUR
F2030-025,2030-06-21,16:00,Fase de grupos,SED-001,JAM,NCL
F2030-026,2030-06-21,19:00,Fase de grupos,SED-002,BOL,SUR
F2030-027,2030-06-21,21:00,Fase de grupos,SED-003,ITA,WAL
F2030-028,2030-06-22,16:00,Fase de grupos,SED-004,NIR,POL
F2030-029,2030-06-22,19:00,Fase de grupos,SED-005,UKR,ALB
F2030-030,2030-06-22,21:00,Fase de grupos,SED-006,KVX,SVK
F2030-031,2030-06-23,16:00,Fase de grupos,SED-007,ROU,DEN
F2030-032,2030-06-23,19:00,Fase de grupos,SED-008,IRL,MKD
